z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
15,17,P,0,,0,,,1+,1,14.268,,5,d,1232755.2,432,B-,100,,,,,,,,,-0.2528,0.0002,,,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-10-16
15,17,P,1,,78.06,0.02,,2+,1,278,,9,ps,0.000000000278,0.000000000009,,,,,,,,,,,,,,,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-10-16
15,17,P,2,,512.7,0.03,,0+,1,1.83,,8,ps,0.00000000000183,0.00000000000008,,,,,,,,,,,,,,,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-10-16
15,17,P,3,,1149.39,0.03,,1+,2,183,,12,fs,0.000000000000183,0.000000000000012,,,,,,,,,,,,,,,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-10-16
15,17,P,4,,1322.84,0.02,,2+,2,338,,17,fs,0.000000000000338,0.000000000000017,,,,,,,,,,,,,,,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-10-16
15,17,P,5,,1510,,,,,,,,,,,,,,,,,,,,,,,,,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-10-16
15,17,P,6,,1755,0.1,,3+,1,430,,28,fs,0.00000000000043,0.000000000000028,,,,,,,,,,,,,,,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-10-16
15,17,P,7,,2177.2,0.2,,3+,2,53,,10,fs,0.000000000000053,0.00000000000001,,,,,,,,,,,,,,,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-10-16
15,17,P,8,,2217.79,0.11,,2+,3,166,,17,fs,0.000000000000166,0.000000000000017,,,,,,,,,,,,,,,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-10-16
15,17,P,9,,2229.7,0.06,,1+,3,35,LT,,fs,0.000000000000035,,,,,,,,,,,,,,,,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-10-16
15,17,P,10,,2313.46,0.1,,,,,,,,,,,,,,,,,,,,,,,,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-10-16
15,17,P,11,,2579.12,0.15,,,,,,,,,,,,,,,,,,,,,,,,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-10-16
15,17,P,12,,2657.53,0.09,,2+,4,8.3,,28,fs,0.0000000000000083,0.0000000000000028,,,,,,,,,,,,,,,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-10-16
15,17,P,13,,2740.36,0.06,,1+,4,14,,5,fs,0.000000000000014,0.000000000000005,,,,,,,,,,,,,,,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-10-16
15,17,P,14,,3004.6,0.8,,3+,3,60,,3,fs,0.00000000000006,0.000000000000003,,,,,,,,,,,,,,,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-10-16
15,17,P,15,,3073.9,0.2,,,,,,,,,,,,,,,,,,,,,,,,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-10-16
15,17,P,16,,3149.3,0.3,,4+,1,345,,25,fs,0.000000000000345,0.000000000000025,,,,,,,,,,,,,,,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-10-16
15,17,P,17,,3263.99,0.05,,2-,1,90,,20,fs,0.00000000000009,0.00000000000002,,,,,,,,,,,,,,,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-10-16
15,17,P,18,,3319.1,0.6,,3-,1,250,,10,fs,0.00000000000025,0.00000000000001,,,,,,,,,,,,,,,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-10-16
15,17,P,19,,3444.35,0.04,,(1 2+),1,26,,10,fs,0.000000000000026,0.00000000000001,,,,,,,,,,,,,,,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-10-16
15,17,P,20,,3445.2,0.4,,4-,1,268,,31,fs,0.000000000000268,0.000000000000031,,,,,,,,,,,,,,,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-10-16
15,17,P,21,,3792,,,(1+),1,4.0,,14,fs,0.000000000000004,0.0000000000000014,,,,,,,,,,,,,,,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-10-16
15,17,P,22,,3797.3,0.4,,(3+),1,49,,26,fs,0.000000000000049,0.000000000000026,,,,,,,,,,,,,,,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-10-16
15,17,P,23,,3875,2,,2+,5,,,,,,,,,,,,,,,,,,,,,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-10-16
15,17,P,24,,3881,0.5,,2+,6,14,LT,,fs,0.000000000000014,,,,,,,,,,,,,,,,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-10-16
15,17,P,25,,3988.7,0.5,,(3)+,1,10,LT,,fs,0.00000000000001,,,,,,,,,,,,,,,,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-10-16
15,17,P,26,,4008.93,0.06,,2-,2,130,,28,fs,0.00000000000013,0.000000000000028,,,,,,,,,,,,,,,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-10-16
15,17,P,27,,4034.6,0.4,,4+,2,24,,17,fs,0.000000000000024,0.000000000000017,,,,,,,,,,,,,,,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-10-16
15,17,P,28,,4035.58,0.04,,1-,1,1.5,,6,fs,0.0000000000000015,6e-16,,,,,,,,,,,,,,,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-10-16
15,17,P,29,,4148.8,0.4,,3-,2,19,,7,fs,0.000000000000019,0.000000000000007,,,,,,,,,,,,,,,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-10-16
15,17,P,30,,4204.3,0.6,,1+,5,2.9,,8,fs,0.0000000000000029,8e-16,,,,,,,,,,,,,,,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-10-16
15,17,P,31,,4275.2,0.4,,5-,1,0.54,,8,ps,0.00000000000054,0.00000000000008,,,,,,,,,,,,,,,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-10-16
15,17,P,32,,4312.5,0.7,,3+,4,,,,,,,,,,,,,,,,,,,,,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-10-16
15,17,P,33,,4409.8,1.2,,0-,1,13.2,,21,fs,0.0000000000000132,0.0000000000000021,,,,,,,,,,,,,,,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-10-16
15,17,P,34,,4548.2,0.6,,1+,6,,,,,,,,,,,,,,,,,,,,,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-10-16
15,17,P,35,,4554.7,0.6,,2+,7,,,,,,,,,,,,,,,,,,,,,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-10-16
15,17,P,36,,4613.1,1.8,,(3)+,2,,,,,,,,,,,,,,,,,,,,,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-10-16
15,17,P,37,,4620,,,(0+),1,,,,,,,,,,,,,,,,,,,,,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-10-16
15,17,P,38,,4661.45,0.04,,2-,3,2.8,,5,fs,0.0000000000000028,5e-16,,,,,,,,,,,,,,,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-10-16
15,17,P,39,,4697,0.7,,(3 5)+,1,,,,,,,,,,,,,,,,,,,,,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-10-16
15,17,P,40,,4710.55,0.11,,1+,7,,,,,,,,,,,,,,,,,,,,,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-10-16
15,17,P,41,,4743.3,0.4,,5+,1,,,,,,,,,,,,,,,,,,,,,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-10-16
15,17,P,42,,4849.9,0.7,,(3+ 4- 5+),1,,,,,,,,,,,,,,,,,,,,,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-10-16
15,17,P,43,,4877.37,0.05,,1-,2,4.0,,8,fs,0.000000000000004,8e-16,,,,,,,,,,,,,,,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-10-16
15,17,P,44,,4940.7,2.5,,1- 2+ 3-,1,,,,,,,,,,,,,,,,,,,,,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-10-16
15,17,P,45,,5012,3,,2+,8,,,,,,,,,,,,,,,,,,,,,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-10-16
15,17,P,46,,5072.44,0.06,,0+,2,104,,34,fs,0.000000000000104,0.000000000000034,,,,,,,,,,2,,,,,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-10-16
15,17,P,47,,5080.5,1.3,,2+,9,,,,,,,,,,,,,,,,,,,,,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-10-16
15,17,P,48,,5129.4,1.5,,,,,,,,,,,,,,,,,,,,,,,,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-10-16
15,17,P,49,,5233.5,1.4,,(2-),1,,,,,,,,,,,,,,,,,,,,,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-10-16
15,17,P,50,,5252.9,1.2,,,,59,LT,,fs,0.000000000000059,,,,,,,,,,,,,,,,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-10-16
15,17,P,51,,5307.58,0.16,,(1 2)+,1,,,,,,,,,,,,,,,,,,,,,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-10-16
15,17,P,52,,5326,0.2,,,,,,,,,,,,,,,,,,,,,,,,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-10-16
