z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
85,132,At,0,,0,,,9/2-,1,32.6,,3,ms,0.0326,0.0003,A,99.993,0.003,B-,0.007,0.003,,,,,3.8,0.2,-1.4,0.08,1-DEC-2017,F.G. KONDEV and  S. KUMAR,2025-10-17
85,132,At,1,,100.13,0.08,,7/2-,1,0.5,LT,,ns,0.0000000005,,,,,,,,,,,,,,,,1-DEC-2017,F.G. KONDEV and  S. KUMAR,2025-10-17
85,132,At,2,,217.97,0.09,,5/2-,1,0.27,,2,ns,0.00000000027,0.00000000002,,,,,,,,,,,,,,,1-DEC-2017,F.G. KONDEV and  S. KUMAR,2025-10-17
85,132,At,3,,271.75,0.1,,3/2-,1,,,,,,,,,,,,,,,,,,,,,1-DEC-2017,F.G. KONDEV and  S. KUMAR,2025-10-17
85,132,At,4,,310.1,0.2,,(13/2+),1,,,,,,,,,,,,,,,,,,,,,1-DEC-2017,F.G. KONDEV and  S. KUMAR,2025-10-17
85,132,At,5,,367.99,0.13,,3/2-,2,,,,,,,,,,,,,,,,,,,,,1-DEC-2017,F.G. KONDEV and  S. KUMAR,2025-10-17
85,132,At,6,,381.42,0.17,,(7/2)-,1,,,,,,,,,,,,,,,,,,,,,1-DEC-2017,F.G. KONDEV and  S. KUMAR,2025-10-17
85,132,At,7,,410.4,0.2,,13/2-,1,,,,,,,,,,,,,,,,,,,,,1-DEC-2017,F.G. KONDEV and  S. KUMAR,2025-10-17
85,132,At,8,,424.13,0.22,,(5/2 7/2 9/2)-,1,,,,,,,,,,,,,,,,,,,,,1-DEC-2017,F.G. KONDEV and  S. KUMAR,2025-10-17
85,132,At,9,,537.8,0.5,,(7/2 9/2),1,,,,,,,,,,,,,,,,,,,,,1-DEC-2017,F.G. KONDEV and  S. KUMAR,2025-10-17
85,132,At,10,,568.7,0.3,,(7/2 9/2),2,,,,,,,,,,,,,,,,,,,,,1-DEC-2017,F.G. KONDEV and  S. KUMAR,2025-10-17
85,132,At,11,,576.9,0.19,,7/2-,2,,,,,,,,,,,,,,,,,,,,,1-DEC-2017,F.G. KONDEV and  S. KUMAR,2025-10-17
85,132,At,12,,652,2,,,,,,,,,,,,,,,,,,,,,,,,1-DEC-2017,F.G. KONDEV and  S. KUMAR,2025-10-17
85,132,At,13,,663.3,0.3,,(5/2- 7/2 9/2-),1,,,,,,,,,,,,,,,,,,,,,1-DEC-2017,F.G. KONDEV and  S. KUMAR,2025-10-17
85,132,At,14,,809.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,1-DEC-2017,F.G. KONDEV and  S. KUMAR,2025-10-17
85,132,At,15,,891.9,0.3,,,,,,,,,,,,,,,,,,,,,,,,1-DEC-2017,F.G. KONDEV and  S. KUMAR,2025-10-17

