z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
18,22,Ar,0,,0,,,0+,1,STABLE,,,,,,,,,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-16
18,22,Ar,1,,1460.849,0.005,,2+,1,1.15,,5,ps,0.00000000000115,0.00000000000005,,,,,,,,,,,-0.04,0.06,0.01,0.04,30-Sep-2015,JUN CHEN,2025-10-16
18,22,Ar,2,,2120.91,0.17,,0+,2,104,,14,ps,0.000000000104,0.000000000014,,,,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-16
18,22,Ar,3,,2524.09,0.11,,2+,2,0.23,,4,ps,0.00000000000023,0.00000000000004,,,,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-16
18,22,Ar,4,,2892.65,0.09,,4+,1,1.95,,28,ps,0.00000000000195,0.00000000000028,,,,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-16
18,22,Ar,5,,3207.93,0.13,,2+,3,34,,7,fs,0.000000000000034,0.000000000000007,,,,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-16
18,22,Ar,6,,3464.56,0.12,,6+,1,0.680,,21,ns,0.00000000068,0.000000000021,,,,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-16
18,22,Ar,7,,3511.54,0.2,,2+,4,59,,12,fs,0.000000000000059,0.000000000000012,,,,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-16
18,22,Ar,8,,3515,1,,4+,2,0.139,,28,ps,0.000000000000139,0.000000000000028,,,,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-16
18,22,Ar,9,,3680.6,0.12,,3-,1,0.132,,28,ps,0.000000000000132,0.000000000000028,,,,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-16
18,22,Ar,10,,3918.85,0.12,,2+,5,0.29,,3,ps,0.00000000000029,0.00000000000003,,,,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-16
18,22,Ar,11,,3941.9,0.2,,,,,,,,,,,,,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-16
18,22,Ar,12,,4042,2,,NATURAL,1,,,,,,,,,,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-16
18,22,Ar,13,,4082.63,0.16,,3-,2,40,,14,fs,0.00000000000004,0.000000000000014,,,,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-16
18,22,Ar,14,,4178.9,0.3,,,,,,,,,,,,,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-16
18,22,Ar,15,,4230,2,,4(-),1,2.8,GT,,ps,0.0000000000028,,,,,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-16
18,22,Ar,16,,4232,2,,(1+ 2- 3+),1,0.166,,28,ps,0.000000000000166,0.000000000000028,,,,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-16
18,22,Ar,17,,4301.08,0.23,,(3)-,1,58,,14,fs,0.000000000000058,0.000000000000014,,,,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-16
18,22,Ar,18,,4324.5,0.3,,2+,6,16,,6,fs,0.000000000000016,0.000000000000006,,,,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-16
18,22,Ar,19,,4358,0.3,,,,,,,,,,,,,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-16
18,22,Ar,20,,4420,1,,(2+ 3-),1,,,,,,,,,,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-16
18,22,Ar,21,,4427,1,,(4+),1,0.125,,21,ps,0.000000000000125,0.000000000000021,,,,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-16
18,22,Ar,22,,4473,1,,1,1,0.070,,13,eV,0.000000000000006517681643876938,0.0000000000000012104265910057168,,,,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-16
18,22,Ar,23,,4481,0.3,,1-,1,0.07,LT,,ps,0.00000000000007,,,,,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-16
18,22,Ar,24,,4494,1,,5-,1,0.50,,7,ps,0.0000000000005,0.00000000000007,,,,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-16
18,22,Ar,25,,4562.36,0.16,,(1 3)-,1,,,,,,,,,,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-16
18,22,Ar,26,,4578,1,,3(-),1,37,,14,fs,0.000000000000037,0.000000000000014,,,,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-16
18,22,Ar,27,,4602,1,,,,53,,20,fs,0.000000000000053,0.00000000000002,,,,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-16
18,22,Ar,28,,4674,1,,(1+ 2- 3+),2,66,,17,fs,0.000000000000066,0.000000000000017,,,,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-16
18,22,Ar,29,,4737.8,0.4,,,,,,,,,,,,,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-16
18,22,Ar,30,,4769,0.3,,1-,2,0.82,,6,eV,5.56387457404129e-16,4.0711277371033825e-17,,,,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-16
18,22,Ar,31,,4794,1,,4+,3,52,,14,fs,0.000000000000052,0.000000000000014,,,,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-16
18,22,Ar,32,,4858,1,,5-,2,37,,10,fs,0.000000000000037,0.00000000000001,,,,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-16
18,22,Ar,33,,4870,10,,3-,3,,,,,,,,,,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-16
18,22,Ar,34,,4901,3,,,,,,,,,,,,,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-16
18,22,Ar,35,,4929,1,,(1-:4+),1,,,,,,,,,,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-16
18,22,Ar,36,,4942.6,0.4,,,,,,,,,,,,,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-16
18,22,Ar,37,,4959,1,,6+,2,0.10,,4,ps,0.0000000000001,0.00000000000004,,,,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-16
18,22,Ar,38,,4972,1,,(2+ 3 4+),1,,,,,,,,,,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-16
18,22,Ar,39,,4991,1,,4(-),2,2.1,,7,ps,0.0000000000021,0.0000000000007,,,,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-16
18,22,Ar,40,,5110,3,,,,,,,,,,,,,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-16
18,22,Ar,41,,5115,2,,(5-),1,,,,,,,,,,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-16
18,22,Ar,42,,5143,2,,(5),1,10,LT,,fs,0.00000000000001,,,,,,,,,,,,,,,,30-Sep-2015,JUN CHEN,2025-10-16
