z,n,symbol,idx,energy_shift,energy,unc_e,ripl_shift,jp,jp_order,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hl,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_mn,electric_quadrupole,unc_eq,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
24,30,Cr,0,,0,,,0+,1,STABLE,,,,,,,,,,,,,,,,,,,,20-Jun-2014,YANG DONG and  HUO JUNDE,2025-10-16
24,30,Cr,1,,834.855,0.003,,2+,1,8.0,,3,ps,0.000000000008,0.0000000000003,,,,,,,,,,,1.7,0.2,-0.21,0.08,20-Jun-2014,YANG DONG and  HUO JUNDE,2025-10-16
24,30,Cr,2,,1823.93,0.07,,4+,1,1.9,,6,ps,0.0000000000019,0.0000000000006,,,,,,,,,,,,,,,20-Jun-2014,YANG DONG and  HUO JUNDE,2025-10-16
24,30,Cr,3,,2619.68,0.04,,2+,2,78,,15,fs,0.000000000000078,0.000000000000015,,,,,,,,,,,,,,,20-Jun-2014,YANG DONG and  HUO JUNDE,2025-10-16
24,30,Cr,4,,2829.62,0.05,,0+,2,0.15,,+6-4,ps,0.00000000000015,0.00000000000005,,,,,,,,,,,,,,,20-Jun-2014,YANG DONG and  HUO JUNDE,2025-10-16
24,30,Cr,5,,3074.07,0.06,,2+,3,7.1,,4,fs,0.0000000000000071,4e-16,,,,,,,,,,,,,,,20-Jun-2014,YANG DONG and  HUO JUNDE,2025-10-16
24,30,Cr,6,,3159.57,0.1,,4+,2,0.24,,+5-4,ps,0.00000000000024,0.000000000000045,,,,,,,,,,,,,,,20-Jun-2014,YANG DONG and  HUO JUNDE,2025-10-16
24,30,Cr,7,,3222.45,0.13,,6+,1,0.49,,14,ps,0.00000000000049,0.00000000000014,,,,,,,,,,,,,,,20-Jun-2014,YANG DONG and  HUO JUNDE,2025-10-16
24,30,Cr,8,,3393.41,0.07,,(1- 2-),1,15,,+14-7,fs,0.000000000000015,0.0000000000000105,,,,,,,,,,,,,,,20-Jun-2014,YANG DONG and  HUO JUNDE,2025-10-16
24,30,Cr,9,,3436.88,0.06,,2+,4,8,,3,fs,0.000000000000008,0.000000000000003,,,,,,,,,,,,,,,20-Jun-2014,YANG DONG and  HUO JUNDE,2025-10-16
24,30,Cr,10,,3468,,,,,,,,,,,,,,,,,,,,,,,,,20-Jun-2014,YANG DONG and  HUO JUNDE,2025-10-16
24,30,Cr,11,,3514,7,,,,,,,,,,,,,,,,,,,,,,,,20-Jun-2014,YANG DONG and  HUO JUNDE,2025-10-16
24,30,Cr,12,,3655.23,0.2,,4+,3,6,LT,,fs,0.000000000000006,,,,,,,,,,,,,,,,20-Jun-2014,YANG DONG and  HUO JUNDE,2025-10-16
24,30,Cr,13,,3720.03,0.05,,1+ 2+,1,16.6,,14,fs,0.0000000000000166,0.0000000000000014,,,,,,,,,,,,,,,20-Jun-2014,YANG DONG and  HUO JUNDE,2025-10-16
24,30,Cr,14,,3785.71,0.12,,(4)+,1,2.8,GT,,ps,0.0000000000028,,,,,,,,,,,,,,,,20-Jun-2014,YANG DONG and  HUO JUNDE,2025-10-16
24,30,Cr,15,,3798.54,0.12,,4+,4,51,,+9-8,fs,0.000000000000051,0.0000000000000085,,,,,,,,,,,,,,,20-Jun-2014,YANG DONG and  HUO JUNDE,2025-10-16
24,30,Cr,16,,3861.02,0.05,,2+,5,,,,,,,,,,,,,,,,,,,,,20-Jun-2014,YANG DONG and  HUO JUNDE,2025-10-16
24,30,Cr,17,,3870.4,0.5,,,,28,GT,,fs,0.000000000000028,,,,,,,,,,,,,,,,20-Jun-2014,YANG DONG and  HUO JUNDE,2025-10-16
24,30,Cr,18,,3925.55,0.07,,2+,6,,,,,,,,,,,,,,,,,,,,,20-Jun-2014,YANG DONG and  HUO JUNDE,2025-10-16
24,30,Cr,19,,3927.69,0.08,,2+,7,,,,,,,,,,,,,,,,,,,,,20-Jun-2014,YANG DONG and  HUO JUNDE,2025-10-16
24,30,Cr,20,,3987.42,0.21,,,,42,GT,,fs,0.000000000000042,,,,,,,,,,,,,,,,20-Jun-2014,YANG DONG and  HUO JUNDE,2025-10-16
24,30,Cr,21,,4012.9,0.07,,0+,3,1.4,,+21-14,fs,0.0000000000000014,0.00000000000000175,,,,,,,,,,,,,,,20-Jun-2014,YANG DONG and  HUO JUNDE,2025-10-16
24,30,Cr,22,,4043.3,0.3,,5+,1,28,,+13-10,fs,0.000000000000028,0.0000000000000115,,,,,,,,,,,,,,,20-Jun-2014,YANG DONG and  HUO JUNDE,2025-10-16
24,30,Cr,23,,4083.25,0.06,,(2 3 4)+,1,,,,,,,,,,,,,,,,,,,,,20-Jun-2014,YANG DONG and  HUO JUNDE,2025-10-16
24,30,Cr,24,,4126,0.7,,2,1,,,,,,,,,,,,,,,,,,,,,20-Jun-2014,YANG DONG and  HUO JUNDE,2025-10-16
24,30,Cr,25,,4127.05,0.07,,3-,1,,,,,,,,,,,,,,,,,,,,,20-Jun-2014,YANG DONG and  HUO JUNDE,2025-10-16
24,30,Cr,26,,4190.8,0.5,,2+,8,,,,,,,,,,,,,,,,,,,,,20-Jun-2014,YANG DONG and  HUO JUNDE,2025-10-16
24,30,Cr,27,,4217.51,0.05,,(2)+ 3+,1,,,,,,,,,,,,,,,,,,,,,20-Jun-2014,YANG DONG and  HUO JUNDE,2025-10-16
24,30,Cr,28,,4239.1,0.5,,2+,9,,,,,,,,,,,,,,,,,,,,,20-Jun-2014,YANG DONG and  HUO JUNDE,2025-10-16
24,30,Cr,29,,4256.4,0.4,,2+,10,,,,,,,,,,,,,,,,,,,,,20-Jun-2014,YANG DONG and  HUO JUNDE,2025-10-16
24,30,Cr,30,,4380.95,0.11,,(2-),1,,,,,,,,,,,,,,,,,,,,,20-Jun-2014,YANG DONG and  HUO JUNDE,2025-10-16
24,30,Cr,31,,4451,0.5,,4+,5,,,,,,,,,,,,,,,,,,,,,20-Jun-2014,YANG DONG and  HUO JUNDE,2025-10-16
24,30,Cr,32,,4458.4,0.5,,1+ (2+),1,,,,,,,,,,,,,,,,,,,,,20-Jun-2014,YANG DONG and  HUO JUNDE,2025-10-16
24,30,Cr,33,,4570.8,0.9,,(2-) 3-,1,,,,,,,,,,,,,,,,,,,,,20-Jun-2014,YANG DONG and  HUO JUNDE,2025-10-16
24,30,Cr,34,,4583,5,,0+,4,,,,,,,,,,,,,,,,,,,,,20-Jun-2014,YANG DONG and  HUO JUNDE,2025-10-16
24,30,Cr,35,,4618,17,,,,,,,,,,,,,,,,,,,,,,,,20-Jun-2014,YANG DONG and  HUO JUNDE,2025-10-16
24,30,Cr,36,,4633.6,0.14,,2+,11,,,,,,,,,,,,,,,,,,,,,20-Jun-2014,YANG DONG and  HUO JUNDE,2025-10-16
24,30,Cr,37,,4681.5,0.3,,(8)+,1,0.55,,7,ps,0.00000000000055,0.00000000000007,,,,,,,,,,,,,,,20-Jun-2014,YANG DONG and  HUO JUNDE,2025-10-16
24,30,Cr,38,,4689.1,0.6,,,,,,,,,,,,,,,,,,,,,,,,20-Jun-2014,YANG DONG and  HUO JUNDE,2025-10-16
24,30,Cr,39,,4740,,,,,,,,,,,,,,,,,,,,,,,,,20-Jun-2014,YANG DONG and  HUO JUNDE,2025-10-16
24,30,Cr,40,,4844.7,0.9,,2-,1,,,,,,,,,,,,,,,,,,,,,20-Jun-2014,YANG DONG and  HUO JUNDE,2025-10-16
24,30,Cr,41,,4865,5,,(1- 4+),1,,,,,,,,,,,,,,,,,,,,,20-Jun-2014,YANG DONG and  HUO JUNDE,2025-10-16
24,30,Cr,42,,4872.36,0.06,,2+,12,,,,,,,,,,,,,,,,,,,,,20-Jun-2014,YANG DONG and  HUO JUNDE,2025-10-16
24,30,Cr,43,,4921,7,,,,,,,,,,,,,,,,,,,,,,,,20-Jun-2014,YANG DONG and  HUO JUNDE,2025-10-16
24,30,Cr,44,,4936,7,,,,,,,,,,,,,,,,,,,,,,,,20-Jun-2014,YANG DONG and  HUO JUNDE,2025-10-16
24,30,Cr,45,,4997,7,,,,,,,,,,,,,,,,,,,,,,,,20-Jun-2014,YANG DONG and  HUO JUNDE,2025-10-16
24,30,Cr,46,,5017,10,,,,,,,,,,,,,,,,,,,,,,,,20-Jun-2014,YANG DONG and  HUO JUNDE,2025-10-16
24,30,Cr,47,,5026,10,,,,,,,,,,,,,,,,,,,,,,,,20-Jun-2014,YANG DONG and  HUO JUNDE,2025-10-16
24,30,Cr,48,,5062,10,,4+,6,,,,,,,,,,,,,,,,,,,,,20-Jun-2014,YANG DONG and  HUO JUNDE,2025-10-16
24,30,Cr,49,,5085.8,0.4,,(7),1,,,,,,,,,,,,,,,,,,,,,20-Jun-2014,YANG DONG and  HUO JUNDE,2025-10-16
24,30,Cr,50,,5113.6,0.5,,2+,13,,,,,,,,,,,,,,,,,,,,,20-Jun-2014,YANG DONG and  HUO JUNDE,2025-10-16
