z,n,symbol,start_level_idx,start_level_energy,unc_sle,start_level_jp,end_level_idx,end_level_energy,unc_ele,end_level_jp,gamma_idx,energy,unc_en,relative_intensity,unc_ri,multipolarity,mixing_ratio,unc_mr,b_e1,unc_be1,b_e2,unc_be2,b_m1,unc_bm1,b_m2,unc_bm2,tot_conv_coeff,tce_unc,ensdf_publication_cut-off,ensdf_authors,Extraction_date
93,144,Np,1,33.19629,0.00022,7/2+,0,0,,5/2+,0,33.196,0.001,100,,M1+E2,0.13,0.03,,,270,,0.06,,,,185,23,15-Mar-2006,M.S. Basunia,2025-10-17
93,144,Np,2,59.54092,0.0001,5/2-,1,33.19629,0.00022,7/2+,0,26.3446,0.0002,6.69,0.06,E1,,,0.0000035,,,,,,,,8,2,15-Mar-2006,M.S. Basunia,2025-10-17
93,144,Np,2,59.54092,0.0001,5/2-,0,0,,5/2+,1,59.5409,0.0001,100,11,E1,,,0.0000045,,,,,,,,1.16,0.07,15-Mar-2006,M.S. Basunia,2025-10-17
93,144,Np,3,75.899,0.005,9/2+,1,33.19629,0.00022,7/2+,0,42.704,0.005,100,20,(M1+E2),0.13,0.00013,,,,,,,,,80,8,15-Mar-2006,M.S. Basunia,2025-10-17
93,144,Np,3,75.899,0.005,9/2+,0,0,,5/2+,1,75.8,0.2,11,1.1,,,,,,,,,,,,,,15-Mar-2006,M.S. Basunia,2025-10-17
93,144,Np,4,102.959,0.003,7/2-,3,75.899,0.005,9/2+,0,27.02,0.007,,,,,,,,,,,,,,,,15-Mar-2006,M.S. Basunia,2025-10-17
93,144,Np,4,102.959,0.003,7/2-,2,59.54092,0.0001,5/2-,1,43.42,0.003,100,11,M1+E2,0.41,0.02,,,450,,0.017,,,,167,9,15-Mar-2006,M.S. Basunia,2025-10-17
93,144,Np,4,102.959,0.003,7/2-,1,33.19629,0.00022,7/2+,2,69.76,0.03,4,0.5,(E1),,,0.0000015,,,,,,,,0.336,,15-Mar-2006,M.S. Basunia,2025-10-17
93,144,Np,4,102.959,0.003,7/2-,0,0,,5/2+,3,102.98,0.02,27,3,E1,,,0.0000032,,,,,,,,0.121,,15-Mar-2006,M.S. Basunia,2025-10-17
93,144,Np,5,129.99,0.03,11/2+,3,75.899,0.005,9/2+,0,54,,,,,,,,,,,,,,,,,15-Mar-2006,M.S. Basunia,2025-10-17
93,144,Np,5,129.99,0.03,11/2+,1,33.19629,0.00022,7/2+,1,97.1,0.5,,,,,,,,,,,,,,,,15-Mar-2006,M.S. Basunia,2025-10-17
93,144,Np,6,158.497,0.011,9/2-,4,102.959,0.003,7/2-,0,55.56,0.02,89,9,M1+E2,0.46,0.04,,,,,,,,,67,6,15-Mar-2006,M.S. Basunia,2025-10-17
93,144,Np,6,158.497,0.011,9/2-,2,59.54092,0.0001,5/2-,1,98.97,0.02,100,2,E2,,,,,,,,,,,15.6,,15-Mar-2006,M.S. Basunia,2025-10-17
93,144,Np,6,158.497,0.011,9/2-,1,33.19629,0.00022,7/2+,2,125.3,0.02,20.1,0.4,,,,,,,,,,,,,,15-Mar-2006,M.S. Basunia,2025-10-17
93,144,Np,7,191.53,0.06,13/2+,3,75.899,0.005,9/2+,0,115.5,0.4,100,,,,,,,,,,,,,,,15-Mar-2006,M.S. Basunia,2025-10-17
93,144,Np,8,225.957,0.016,11/2-,6,158.497,0.011,9/2-,0,67.45,0.05,42,10,(M1+E2),0.46,0.12,,,,,,,,,31,6,15-Mar-2006,M.S. Basunia,2025-10-17
93,144,Np,8,225.957,0.016,11/2-,4,102.959,0.003,7/2-,1,123.01,0.02,100,3,E2,,,,,,,,,,,5.9,,15-Mar-2006,M.S. Basunia,2025-10-17
93,144,Np,8,225.957,0.016,11/2-,3,75.899,0.005,9/2+,2,150.04,0.03,7.4,0.21,,,,,,,,,,,,,,15-Mar-2006,M.S. Basunia,2025-10-17
93,144,Np,9,267.556,0.012,3/2-,4,102.959,0.003,7/2-,0,164.61,0.02,8.6,0.2,E2,,,,,0.198,,,,,,1.74,,15-Mar-2006,M.S. Basunia,2025-10-17
93,144,Np,9,267.556,0.012,3/2-,2,59.54092,0.0001,5/2-,1,208.005,0.023,100,2,M1+E2,0.156,0.005,,,0.017,,0.000102,,,,3.18,,15-Mar-2006,M.S. Basunia,2025-10-17
93,144,Np,9,267.556,0.012,3/2-,1,33.19629,0.00022,7/2+,2,234.4,0.04,0.083,0.003,M2,,,,,,,,,0.041,,8.66,,15-Mar-2006,M.S. Basunia,2025-10-17
93,144,Np,9,267.556,0.012,3/2-,0,0,,5/2+,3,267.54,0.04,3.32,0.1,E1+M2,0.49,0.015,0.0000000106,,,,,,0.163,,1.11,0.06,15-Mar-2006,M.S. Basunia,2025-10-17
93,144,Np,10,268.8,0.16,15/2+,5,129.99,0.03,11/2+,0,138.7,0.2,100,,,,,,,,,,,,,,,15-Mar-2006,M.S. Basunia,2025-10-17
93,144,Np,11,281.356,0.018,1/2-,9,267.556,0.012,3/2-,0,13.81,0.02,21.4,0.7,M1+E2,0.0321,0.001,,,,,,,,,518,16,15-Mar-2006,M.S. Basunia,2025-10-17
93,144,Np,11,281.356,0.018,1/2-,2,59.54092,0.0001,5/2-,1,221.8,0.04,100,4,E2,,,,,,,,,,,0.56,,15-Mar-2006,M.S. Basunia,2025-10-17
93,144,Np,12,305.05,0.03,13/2-,6,158.497,0.011,9/2-,0,146.55,0.03,100,2.4,E2,,,,,,,,,,,2.8,,15-Mar-2006,M.S. Basunia,2025-10-17
93,144,Np,12,305.05,0.03,13/2-,5,129.99,0.03,11/2+,1,175.07,0.04,3.9,0.2,,,,,,,,,,,,,,15-Mar-2006,M.S. Basunia,2025-10-17
93,144,Np,13,316.8,0.2,,0,0,,5/2+,0,316.8,0.2,100,,,,,,,,,,,,,,,15-Mar-2006,M.S. Basunia,2025-10-17
93,144,Np,14,324.42,0.023,(7/2-),6,158.497,0.011,9/2-,0,165.81,0.06,54.7,2.5,,,,,,,,,,,,,,15-Mar-2006,M.S. Basunia,2025-10-17
93,144,Np,14,324.42,0.023,(7/2-),4,102.959,0.003,7/2-,1,221.46,0.03,100,2.4,,,,,,,,,,,,,,15-Mar-2006,M.S. Basunia,2025-10-17
93,144,Np,14,324.42,0.023,(7/2-),3,75.899,0.005,9/2+,2,249,0.15,1.3,,,,,,,,,,,,,,,15-Mar-2006,M.S. Basunia,2025-10-17
93,144,Np,14,324.42,0.023,(7/2-),2,59.54092,0.0001,5/2-,3,264.89,0.06,21.2,1,,,,,,,,,,,,,,15-Mar-2006,M.S. Basunia,2025-10-17
